time,renew_node_132,renew_node_140,renew_node_143,renew_node_17,renew_node_148,renew_node_150,renew_node_24,renew_node_153,renew_node_154,renew_node_155,renew_node_25,renew_node_159,renew_node_168,renew_node_41,renew_node_171,renew_node_175,renew_node_185,renew_node_190,renew_node_202,renew_node_212,renew_node_86,renew_node_88,renew_node_93,renew_node_95,renew_node_97,renew_node_99,renew_node_111,renew_node_121,renew_node_123
2012-01-01 16:00:00,6.434042,36.498370,128.722559,78.488148,41.359012,15.447778,241.326321,73.427276,12.184026,48.217393,336.254779,41.428571,196.709592,65.854226,21.869606,29.330047,83.371338,148.963979,236.715491,50.642729,14.060117,524.194314,13.354558,219.410959,11.727499,123.848289,27.679796,3.503668,324.967942
2012-01-01 17:00:00,7.296269,38.694547,120.242526,74.455331,35.157788,14.363724,274.133355,75.144101,11.720755,75.382121,331.692112,44.867924,155.684597,73.115238,29.038982,28.572556,88.681615,220.440931,324.668446,82.804463,9.882511,593.813872,9.793342,297.646155,5.815449,119.741914,36.921722,3.432164,283.663253
2012-01-01 18:00:00,5.793904,44.341859,149.161614,80.612965,23.701289,25.204270,264.958507,85.973304,11.581774,86.791307,320.008917,53.309972,168.307672,84.622364,35.485394,57.781404,155.591097,194.898116,224.301078,80.564342,9.298544,658.191486,9.570766,293.699154,5.718846,153.523697,48.048816,9.295445,243.112988
2012-01-01 19:00:00,6.486298,72.264680,230.265524,82.260783,20.600677,32.115118,260.232069,124.007576,11.836573,102.411026,309.328127,57.843665,183.455363,99.175959,32.714039,92.080591,248.166914,198.547090,155.706190,94.165075,9.949891,765.978942,11.796526,301.804602,7.071276,199.077091,58.440234,21.701288,253.297705
2012-01-01 20:00:00,9.086043,54.799845,294.409367,93.231778,15.923482,27.372379,429.271704,162.834229,13.458021,124.686103,244.033588,40.803234,163.679211,131.534818,26.990589,103.442955,304.101825,288.268910,189.161979,80.484338,13.318929,854.764354,20.402796,275.655722,15.920032,173.289052,85.706213,19.949454,386.830673
2012-01-01 21:00:00,11.287335,47.060935,335.939787,103.552319,16.186246,19.648490,260.232069,216.716116,18.970945,148.862711,213.754066,32.673854,179.668440,123.374072,18.977758,98.261717,322.510783,396.235597,227.457285,54.722949,9.972352,799.887761,20.551180,280.800919,31.376374,179.147481,118.029962,17.268076,508.670076
2012-01-01 22:00:00,11.731512,184.374286,487.058332,132.779397,21.494074,19.919504,197.120232,258.448165,28.884943,219.491005,203.730024,42.366576,221.955743,89.499870,12.651838,107.109210,325.519939,347.725714,175.905911,40.322173,12.937105,765.323699,24.705932,247.603822,22.952668,183.801374,150.169792,29.423658,495.656269
2012-01-01 23:00:00,14.951799,195.355171,745.155760,153.030207,36.892029,34.147720,309.442621,274.427842,87.187592,253.718563,198.026689,88.485174,294.959196,73.872909,28.436513,170.011253,399.863808,342.788867,143.712605,20.641112,19.585339,832.486095,36.650842,327.883001,11.457013,227.493210,184.792527,68.786291,534.697688
2012-01-02 00:00:00,28.675578,192.217775,0.000000,109.016135,61.118845,44.310732,330.294550,286.577679,122.581492,262.275452,169.959370,133.509431,0.000000,94.045896,35.666135,153.800948,482.881128,332.271238,119.094194,16.560893,0.000000,975.001424,0.000000,384.832585,0.000000,285.365731,242.359146,0.000000,0.000000
2012-01-02 01:00:00,47.455143,214.074965,0.000000,80.656329,65.690934,46.343335,263.846404,317.348462,73.405281,244.210908,159.797065,134.447437,0.000000,98.292009,65.247338,0.000000,0.000000,323.900063,78.694750,19.841069,0.000000,1007.435948,0.000000,471.314193,0.000000,319.476025,273.441442,0.000000,0.000000
