time,export_node_162,export_node_130,export_node_68,export_node_100,export_node_6,export_node_98,export_node_137,export_node_170,export_node_172,export_node_108,export_node_111,export_node_144,export_node_112,export_node_146,export_node_19,export_node_85,export_node_154,export_node_59,export_node_124,export_node_127
2012-01-01 20:00:00,21.163264,-21.962749,-12.033530,-281.897231,-624.974754,323.294348,-3.202626,-1930.662726,1120.962004,-9.507532,-2480.893387,580.285493,22.533242,-1230.826112,125.828988,4.617531,-1729.865679,101.874609,-64.091008,1750.870823
2012-01-01 21:00:00,63.591513,-21.024712,24.105576,-277.389888,-885.781598,391.408307,-2.961238,-1898.906013,1117.021672,-4.281519,-2417.662938,640.218370,29.897302,-1210.414206,105.998250,86.598692,-1703.359855,100.484876,-59.871667,1765.297095
2012-01-01 22:00:00,135.351195,-16.280193,47.409944,-236.396259,-1066.118750,470.723162,-2.357672,-1734.363439,63.333797,-11.985458,-2188.827608,750.880457,49.949636,-1106.798832,160.325400,125.863983,-1559.843357,78.863836,-53.853873,1218.775455
2012-01-01 23:00:00,150.902913,-9.691951,55.242138,-189.782378,-1092.860641,434.805815,0.385142,-1487.705929,138.079816,-9.456186,-1907.040173,897.357117,82.890172,-968.430401,230.337544,144.340675,-1333.657908,58.363388,-38.178670,120.501087
2012-01-02 00:00:00,194.414470,-3.743955,101.539391,-128.205463,-950.958770,434.210267,8.581824,-1276.601701,127.999613,-14.704700,-1624.461754,-68.671400,67.508921,-829.498371,192.616877,-50.127500,-1145.428208,89.089751,0.527536,118.807356
2012-01-02 01:00:00,179.715189,2.064144,95.347934,-71.353284,-879.129471,397.859275,29.102873,-1133.655934,-29.121000,-13.635200,-1457.604158,-63.676900,84.576184,-739.958701,207.519545,-46.481700,-1102.381119,79.357536,35.485355,120.175603
2012-01-02 02:00:00,160.273676,9.537699,98.124698,-53.570444,-886.117650,349.208242,34.925141,-1269.043500,-28.156300,-13.183500,-1396.808478,-61.567400,65.087356,-705.707911,241.628019,-44.941800,-1074.964365,19.291446,83.849044,98.972245
2012-01-02 03:00:00,148.206573,13.120048,86.721774,-71.156946,-822.711063,374.577730,35.250185,-1258.139100,-27.914400,-13.070200,-1409.325219,-61.038300,89.240037,-633.527010,206.567401,-44.555600,-1096.605735,18.164159,97.986042,149.951423
2012-01-02 04:00:00,120.549427,37.358496,47.567350,-127.261078,-816.199826,334.921631,40.379921,-906.310744,384.076466,-13.569000,-1504.843028,-63.368000,98.119490,-665.311692,131.435875,-46.256200,-1136.032686,17.763272,110.599549,189.253814
2012-01-02 05:00:00,116.630350,54.988523,22.415660,-207.243033,-779.464278,213.756636,42.582346,-1464.916600,-32.502100,-15.218300,-1706.452254,-71.070100,95.801730,-715.613299,102.106982,173.271551,-1255.805208,24.181379,95.705686,115.035684
